,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
49,2,2015-01-25 00:13:07,2015-01-25 00:15:39,1,0.49,-73.9861602783,40.7599487305,1,N,-73.9836044312,40.7639389038,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3
50,2,2015-01-25 00:13:07,2015-01-25 00:24:59,1,2.6,-73.9484786987,40.7824783325,1,N,-73.971534729,40.8003387451,1,11.0,0.5,0.5,1.5,0.0,0.3,13.8
51,2,2015-01-25 00:13:07,2015-01-25 00:41:19,1,6.17,-74.0016326904,40.7409362793,1,N,-73.9198074341,40.7430801392,1,24.0,0.5,0.5,2.7,0.0,0.3,28.0
52,2,2015-01-25 00:13:08,2015-01-25 00:34:57,1,3.72,-73.9753417969,40.7898788452,1,N,-74.0050430298,40.741191864,1,16.5,0.5,0.5,3.56,0.0,0.3,21.36
53,2,2015-01-25 00:13:08,2015-01-25 00:18:57,1,1.1,-73.9798812866,40.7462463379,1,N,-73.987663269,40.732673645,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
54,2,2015-01-25 00:13:09,2015-01-25 00:21:38,2,2.63,-73.9928283691,40.7014846802,1,N,-73.9929046631,40.7199783325,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16
55,2,2015-01-25 00:13:09,2015-01-25 00:22:51,2,2.22,-73.9925308228,40.7244606018,1,N,-74.0108947754,40.7032661438,1,9.5,0.5,0.5,2.7,0.0,0.3,13.5
56,2,2015-01-25 00:13:09,2015-01-25 00:20:30,1,1.79,-73.9556884766,40.7724685669,1,N,-73.9743804932,40.7566719055,1,8.0,0.5,0.5,2.79,0.0,0.3,12.09
57,2,2015-01-25 00:13:09,2015-01-25 00:24:28,1,1.14,-73.9931106567,40.7242889404,1,N,-74.0009765625,40.7352218628,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76
58,2,2015-01-25 00:13:09,2015-01-25 01:02:40,1,10.2,-73.9976119995,40.7622413635,1,N,-73.9085769653,40.6900482178,2,39.0,0.5,0.5,0.0,0.0,0.3,40.3
59,2,2015-01-04 13:44:51,2015-01-04 13:53:27,5,1.48,-73.9863510132,40.7593765259,1,N,-73.9962463379,40.746711731,1,7.5,0.0,0.5,1.5,0.0,0.3,9.8
60,2,2015-01-04 13:44:51,2015-01-04 13:45:03,1,0.03,-73.9445114136,40.7945671082,1,N,-73.9447021484,40.7943344116,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3
61,1,2015-01-04 13:44:52,2015-01-04 13:56:49,1,2.5,0.0,0.0,1,N,0.0,0.0,1,11.0,0.0,0.5,2.35,0.0,0.0,14.15
62,2,2015-01-04 13:44:52,2015-01-04 13:46:38,1,0.36,-73.9912490845,40.765460968,1,N,-73.9875335693,40.768409729,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3
63,2,2015-01-04 13:44:52,2015-01-04 13:56:58,3,3.14,-73.9779434204,40.6848716736,1,N,-73.9964904785,40.7255096436,1,12.5,0.0,0.5,2.5,0.0,0.3,15.8
64,2,2015-01-04 13:44:52,2015-01-04 13:53:17,1,1.14,-73.9909515381,40.7508087158,1,N,-73.9794082642,40.7412605286,1,7.0,0.0,0.5,1.4,0.0,0.3,9.2
65,2,2015-01-04 13:44:52,2015-01-04 14:04:23,1,8.98,-73.8710021973,40.7737922668,1,N,-73.9613647461,40.7700424194,1,27.0,0.0,0.5,0.0,5.33,0.3,33.13
66,2,2015-01-04 13:44:52,2015-01-04 13:49:03,1,0.85,0.0,0.0,1,N,0.0,0.0,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
67,1,2015-01-04 13:44:53,2015-01-04 13:49:40,2,0.7,-73.9947357178,40.7400932312,1,N,-73.9983139038,40.7362442017,2,5.0,0.0,0.5,0.0,0.0,0.0,5.8
68,1,2015-01-04 13:44:53,2015-01-04 13:51:53,3,1.5,-74.0142059326,40.7120895386,1,N,-74.0010986328,40.7241287231,2,7.5,0.0,0.5,0.0,0.0,0.0,8.3
69,2,2015-01-04 13:44:53,2015-01-04 13:55:07,2,1.26,-73.9795532227,40.7662658691,1,N,-73.9833831787,40.7553138733,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
70,2,2015-01-04 13:44:53,2015-01-04 13:51:26,1,1.56,-73.9577865601,40.7745857239,1,N,-73.9722366333,40.7568855286,1,7.0,0.0,0.5,1.0,0.0,0.3,8.8
71,1,2015-01-04 13:44:54,2015-01-04 13:53:36,1,1.5,-73.9694061279,40.7985877991,1,N,-73.9718856812,40.7819404602,1,8.0,0.0,0.5,1.75,0.0,0.0,10.55
72,1,2015-01-04 13:44:54,2015-01-04 13:50:29,1,1.1,-73.9679794312,40.8021354675,1,N,-73.977684021,40.7872657776,1,6.5,0.0,0.5,2.0,0.0,0.0,9.3
73,1,2015-01-04 13:44:54,2015-01-04 13:47:15,1,0.5,-73.9625167847,40.7700386047,1,N,-73.9677352905,40.7628555298,1,4.0,0.0,0.5,1.0,0.0,0.0,5.8
74,2,2015-01-04 13:44:54,2015-01-04 14:02:23,2,8.79,-73.9642028809,40.7733688354,1,N,-73.8706359863,40.7738342285,1,26.0,0.0,0.5,4.0,5.33,0.3,36.13
75,2,2015-01-04 13:44:54,2015-01-04 13:53:15,1,1.39,-73.9862518311,40.7304382324,1,N,-73.9912185669,40.7421684265,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
76,2,2015-01-15 14:00:41,2015-01-15 14:11:18,1,1.64,-73.9837265015,40.7463417053,1,N,-73.966796875,40.7614059448,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
77,2,2015-01-15 14:00:41,2015-01-15 14:19:26,1,1.53,-73.9957809448,40.7329406738,1,N,-73.9910736084,40.7503814697,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8
78,2,2015-01-15 14:00:41,2015-01-15 14:31:42,5,7.48,-73.8708190918,40.7737007141,1,N,-73.9686965942,40.7626800537,2,27.0,0.0,0.5,0.0,0.0,0.3,27.8
